tablet,time,kidnapped_time
blue,16/04/2016 19:09:24.07,0.96
blue,16/04/2016 19:10:21.13,0.06
blue,16/04/2016 19:10:37.13,2.09
blue,16/04/2016 19:10:55.01,1.96
blue,16/04/2016 19:10:55.14,0.04
blue,16/04/2016 19:10:57.03,0.03
blue,16/04/2016 19:10:58.00,0.75
blue,16/04/2016 19:11:13.16,0.05
blue,16/04/2016 19:11:50.08,0.96
blue,16/04/2016 19:12:02.23,0.05
blue,16/04/2016 19:12:17.17,4.07
blue,16/04/2016 19:12:19.23,0.01
blue,16/04/2016 19:12:29.04,0.86
blue,16/04/2016 19:12:48.00,0.0
blue,16/04/2016 19:12:52.09,1.81
blue,16/04/2016 19:12:57.05,1.83
blue,16/04/2016 19:13:33.11,0.11
blue,16/04/2016 19:15:15.16,1.13
blue,16/04/2016 19:15:16.15,0.15
blue,16/04/2016 19:15:51.18,0.95
blue,16/04/2016 19:16:47.13,17.95
blue,16/04/2016 19:16:50.07,0.92
blue,16/04/2016 19:16:59.04,0.04
blue,16/04/2016 19:17:32.06,0.05
blue,16/04/2016 19:19:59.08,1.91
blue,16/04/2016 19:20:10.08,1.89
blue,16/04/2016 19:21:02.14,0.07
blue,16/04/2016 19:21:03.11,0.06
blue,16/04/2016 19:22:18.04,0.92
blue,16/04/2016 19:22:43.15,0.06
blue,16/04/2016 19:25:15.08,24.96
blue,16/04/2016 19:25:16.01,0.0
blue,16/04/2016 19:25:17.19,1.03
blue,16/04/2016 19:26:30.15,5.95
blue,16/04/2016 19:28:11.00,24.95
blue,16/04/2016 19:28:11.09,0.07
blue,16/04/2016 19:28:11.10,0.0
blue,16/04/2016 19:29:54.06,7.94
blue,16/04/2016 19:31:00.20,0.03
blue,16/04/2016 19:31:08.01,0.82
blue,16/04/2016 19:31:09.03,0.02
blue,16/04/2016 19:31:12.04,0.89
blue,16/04/2016 19:31:14.20,1.0
blue,16/04/2016 19:31:18.08,1.06
blue,16/04/2016 19:31:21.05,1.9
blue,16/04/2016 19:32:38.06,5.01
blue,16/04/2016 19:33:08.20,0.0
blue,16/04/2016 19:33:40.05,0.84
blue,16/04/2016 19:36:09.01,64.95
blue,16/04/2016 19:36:13.04,1.97
blue,16/04/2016 19:36:19.15,2.12
blue,16/04/2016 19:36:26.03,3.02
blue,16/04/2016 19:36:49.03,9.03
