tablet,time,grasped_time
blue,16/04/2016 18:44:00.06,83.9
blue,16/04/2016 18:45:25.22,30.19
blue,16/04/2016 18:46:08.27,12.19
blue,16/04/2016 18:46:26.22,3.22
blue,16/04/2016 18:46:33.23,6.05
blue,16/04/2016 18:47:14.13,4.04
blue,16/04/2016 18:48:24.02,2.81
blue,16/04/2016 18:48:37.10,4.1
blue,16/04/2016 18:48:43.02,5.92
blue,16/04/2016 18:49:24.16,41.1
blue,16/04/2016 18:49:42.03,17.02
blue,16/04/2016 18:49:55.14,11.06
blue,16/04/2016 18:51:12.21,75.04
blue,16/04/2016 18:51:37.10,2.02
blue,16/04/2016 18:53:34.09,4.89
blue,16/04/2016 18:53:44.03,3.01
blue,16/04/2016 18:53:50.04,3.0
blue,16/04/2016 18:53:52.07,2.03
blue,16/04/2016 18:53:55.08,2.9
blue,16/04/2016 18:54:28.18,2.0
blue,16/04/2016 18:54:34.04,4.95
blue,16/04/2016 18:54:54.19,6.02
blue,16/04/2016 18:55:12.03,4.92
blue,16/04/2016 18:55:14.20,2.15
blue,16/04/2016 18:56:08.11,40.09
blue,16/04/2016 18:56:13.09,4.05
blue,16/04/2016 18:56:26.10,12.06
blue,16/04/2016 18:56:34.21,7.08
blue,16/04/2016 18:57:21.04,44.93
blue,16/04/2016 18:57:38.28,13.24
blue,16/04/2016 18:57:55.21,3.04
blue,16/04/2016 18:58:07.09,2.86
blue,16/04/2016 18:58:39.19,4.04
blue,16/04/2016 18:59:27.05,3.98
blue,16/04/2016 18:59:29.20,2.11
blue,16/04/2016 18:59:40.08,6.05
blue,16/04/2016 19:00:35.21,6.19
blue,16/04/2016 19:00:40.20,2.04
blue,16/04/2016 19:00:50.22,3.16
blue,16/04/2016 19:01:08.14,5.05
blue,16/04/2016 19:01:27.05,14.0
blue,16/04/2016 19:01:38.07,7.83
blue,16/04/2016 19:05:30.25,217.19
blue,16/04/2016 19:06:16.10,37.04
blue,16/04/2016 19:06:20.01,2.8
blue,16/04/2016 19:06:28.17,6.17
blue,16/04/2016 19:07:03.20,33.12
